기준일,기준가격,등락가,등락비율,,
2018-05-24,131.50 ,0.00 ,0.00 ,,
2018-05-25,131.50 ,0.00 ,0.00 ,,
2018-05-28,128.50 ,-3.00 ,-2.28 ,,
2018-05-29,125.50 ,-3.00 ,-2.33 ,,
2018-05-30,123.50 ,-2.00 ,-1.59 ,,
2018-05-31,121.50 ,-2.00 ,-1.62 ,,
2018-06-01,121.50 ,0.00 ,0.00 ,,
2018-06-04,121.50 ,0.00 ,0.00 ,,
2018-06-05,118.50 ,-3.00 ,-2.47 ,,
2018-06-06,118.50 ,0.00 ,0.00 ,,
2018-06-07,115.50 ,-3.00 ,-2.53 ,,
2018-06-08,113.50 ,-2.00 ,-1.73 ,,
2018-06-11,113.50 ,0.00 ,0.00 ,,
2018-06-12,113.50 ,0.00 ,0.00 ,,
2018-06-13,113.50 ,0.00 ,0.00 ,,
2018-06-14,113.50 ,0.00 ,0.00 ,,
2018-06-15,110.50 ,-3.00 ,-2.64 ,,
2018-06-19,107.50 ,-3.00 ,-2.71 ,,
2018-06-20,104.50 ,-3.00 ,-2.79 ,,
2018-06-21,104.50 ,0.00 ,0.00 ,,
2018-06-22,104.50 ,0.00 ,0.00 ,,
2018-06-25,104.50 ,0.00 ,0.00 ,,
2018-06-26,104.50 ,0.00 ,0.00 ,,
2018-06-27,102.50 ,-2.00 ,-1.91 ,,
2018-06-28,102.50 ,0.00 ,0.00 ,,
2018-06-29,102.50 ,0.00 ,0.00 ,,
2018-07-02,102.50 ,0.00 ,0.00 ,,
2018-07-03,102.50 ,0.00 ,0.00 ,,
2018-07-04,99.50 ,-3.00 ,-2.93 ,,
2018-07-05,97.50 ,-2.00 ,-2.01 ,,
2018-07-06,97.50 ,0.00 ,0.00 ,,
2018-07-09,97.50 ,0.00 ,0.00 ,,
2018-07-10,95.50 ,-2.00 ,-2.05 ,,
2018-07-11,95.50 ,0.00 ,0.00 ,,
2018-07-12,95.50 ,0.00 ,0.00 ,,
2018-07-13,95.50 ,0.00 ,0.00 ,,
2018-07-16,95.50 ,0.00 ,0.00 ,,
2018-07-17,95.50 ,0.00 ,0.00 ,,
2018-07-18,95.50 ,0.00 ,0.00 ,,
2018-07-19,95.50 ,0.00 ,0.00 ,,
2018-07-20,95.50 ,0.00 ,0.00 ,,
2018-07-23,93.50 ,-2.00 ,-2.09 ,,
2018-07-24,91.50 ,-2.00 ,-2.14 ,,
2018-07-25,91.50 ,0.00 ,0.00 ,,
2018-07-26,91.50 ,0.00 ,0.00 ,,
2018-07-27,89.50 ,-2.00 ,-2.19 ,,
2018-07-30,89.50 ,0.00 ,0.00 ,,
2018-07-31,89.50 ,0.00 ,0.00 ,,
2018-08-01,87.50 ,-2.00 ,-2.23 ,,
2018-08-02,85.50 ,-2.00 ,-2.29 ,,
2018-08-03,84.50 ,-1.00 ,-1.17 ,,
2018-08-06,83.50 ,-1.00 ,-1.18 ,,
2018-08-07,83.50 ,0.00 ,0.00 ,,
2018-08-08,83.50 ,0.00 ,0.00 ,,
2018-08-09,83.50 ,0.00 ,0.00 ,,
2018-08-10,83.50 ,0.00 ,0.00 ,,
2018-08-13,82.50 ,-1.00 ,-1.20 ,,
2018-08-14,80.50 ,-2.00 ,-2.42 ,,
2018-08-15,79.50 ,-1.00 ,-1.24 ,,
2018-08-16,79.50 ,0.00 ,0.00 ,,
2018-08-17,79.50 ,0.00 ,0.00 ,,
2018-08-20,79.50 ,0.00 ,0.00 ,,
2018-08-21,79.50 ,0.00 ,0.00 ,,
2018-08-22,79.50 ,0.00 ,0.00 ,,
2018-08-23,78.50 ,-1.00 ,-1.26 ,,
2018-08-24,78.50 ,0.00 ,0.00 ,,
2018-08-27,76.50 ,-2.00 ,-2.55 ,,
2018-08-28,74.50 ,-2.00 ,-2.61 ,,
2018-08-29,74.50 ,0.00 ,0.00 ,,
2018-08-30,74.50 ,0.00 ,0.00 ,,
2018-08-31,74.50 ,0.00 ,0.00 ,,
2018-09-03,74.50 ,0.00 ,0.00 ,,
2018-09-04,74.50 ,0.00 ,0.00 ,,
2018-09-05,74.50 ,0.00 ,0.00 ,,
2018-09-06,74.50 ,0.00 ,0.00 ,,
2018-09-07,74.50 ,0.00 ,0.00 ,,
2018-09-10,74.50 ,0.00 ,0.00 ,,
2018-09-11,74.50 ,0.00 ,0.00 ,,
2018-09-12,74.50 ,0.00 ,0.00 ,,
2018-09-13,74.50 ,0.00 ,0.00 ,,
2018-09-14,74.50 ,0.00 ,0.00 ,,
2018-09-17,73.50 ,-1.00 ,-1.34 ,,
2018-09-18,72.50 ,-1.00 ,-1.36 ,,
2018-09-19,72.50 ,0.00 ,0.00 ,,
2018-09-20,71.00 ,-1.50 ,-2.07 ,,
2018-09-21,71.00 ,0.00 ,0.00 ,,
2018-09-25,71.00 ,0.00 ,0.00 ,,
2018-09-26,71.00 ,0.00 ,0.00 ,,
2018-09-27,71.00 ,0.00 ,0.00 ,,
2018-09-28,71.00 ,0.00 ,0.00 ,,
2018-09-29,71.00 ,0.00 ,0.00 ,,
2018-10-08,71.00 ,0.00 ,0.00 ,,
2018-10-09,69.50 ,-1.50 ,-2.11 ,,
2018-10-10,68.00 ,-1.50 ,-2.16 ,,
2018-10-11,68.00 ,0.00 ,0.00 ,,
2018-10-12,68.00 ,0.00 ,0.00 ,,
2018-10-15,68.00 ,0.00 ,0.00 ,,
2018-10-16,68.00 ,0.00 ,0.00 ,,
2018-10-17,68.00 ,0.00 ,0.00 ,,
2018-10-18,68.00 ,0.00 ,0.00 ,,
2018-10-19,68.00 ,0.00 ,0.00 ,,
2018-10-22,68.00 ,0.00 ,0.00 ,,
2018-10-23,68.00 ,0.00 ,0.00 ,,
2018-10-24,68.00 ,0.00 ,0.00 ,,
2018-10-25,68.00 ,0.00 ,0.00 ,,
2018-10-26,68.00 ,0.00 ,0.00 ,,
2018-10-29,68.00 ,0.00 ,0.00 ,,
2018-10-30,69.00 ,1.00 ,1.47 ,,
2018-10-31,69.00 ,0.00 ,0.00 ,,
2018-11-01,70.00 ,1.00 ,1.45 ,,
2018-11-02,70.00 ,0.00 ,0.00 ,,
